ID,Project,District,Status,Status date,Actual completion or occupancy,Forecast completion or occupancy,Recorded construction,Geometry coverage,Caveat,Sources
mcity-1-2,M City M1 and M2,Downtown,completed,2024,2023–2024,,{},Source geometry available; current detail may differ,CTBUH architectural heights differ from UrbanToronto's 197.81 m and 60 storeys. The City's 61-storey figure is a marketing count. Preserve the distinction.,https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.mcitycondos.com/construction.php; https://www.skyscrapercenter.com/complex/2859; https://urbantoronto.ca/database/projects/m-city
mcity-3,M City M3,Downtown,Under construction; structure topped,2026-07-15,,2026-Q4,"{""evidenceDate"": ""2026 Spring (source seasonal update)"", ""stage"": ""Spring 2026: crown and final architectural features complete; glazing and railings through level 79; phased occupancy underway."", ""actualHeightM"": null, ""source"": ""https://www.mcitycondos.com/construction.php""}",photo-and-plan-derived approximate crown shell,Municipal lower capture remains unchanged. Upper contour interpolated from published plans; crown now represented by a photo-derived stepped silhouette anchored to 260.29 m. Intermediate crown dimensions approximate and mechanical cavities omitted.,https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.mcitycondos.com/construction.php; https://www.skyscrapercenter.com/complex/2859; https://verticalurbanism.org/news-article/in-mississaugas-m-city-the-next-building-tops-out-at-260-meters/; https://andrewfisher.ca/portfolio/m3-at-mcity/; https://mcitycondos.com/assets/img/condominiums/m3/floorplans/M3_2.pdf; https://urbantoronto.ca/news/2026/07/crown-materializing-crane-dematerialzing-m3-canadas-tallest-building-outside-toronto.61378; https://cdn.skyrisecities.com/sites/default/files/images/articles/2026/07/61378/61378-200210.jpeg; https://cdn.skyrisecities.com/sites/default/files/images/articles/2026/07/61378/61378-200211.jpeg; https://www.waltersgroupinc.com/project/m-city/
mcity-4,M City M4,Downtown,under-construction,2026-spring,,2028-Q4,"{""evidenceDate"": ""2026 Spring (source seasonal update)"", ""stage"": ""Spring 2026: concrete through level 41; glazing through level 26."", ""actualHeightM"": null, ""source"": ""https://www.mcitycondos.com/construction.php""}",Published-plan envelope added; approximate placement and maximum roof profile,"The recorded-construction asset uses the sourced level-41 elevation, with an approximate vertical cut and explicit date. Completion is a forecast, distinct from phased occupancy.",https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.mcitycondos.com/construction.php; https://urbantoronto.ca/news/2020/05/fourth-tower-proposed-m-city-community-mississauga.42335; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0; https://urbantoronto.ca/forum/attachments/1590440424001-png.247625/; https://urbantoronto.ca/forum/attachments/1590440570442-png.247627/
mcity-5,M City M5,Downtown,under-construction,2026-spring,,2027-Q4,"{""evidenceDate"": ""2026 Spring (source seasonal update)"", ""stage"": ""Spring 2026: concrete through level 27; glazing through level 11."", ""actualHeightM"": null, ""source"": ""https://www.mcitycondos.com/construction.php""}",native developer interaction proxy; unverified architectural envelope,Native developer interaction proxy georegistered to community diagram; exact architectural height unknown. Native 117.87-unit extent is not a verified building height. Future-only; actual floor 27 progress not inferred from this envelope.,https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.mcitycondos.com/construction.php; https://www.skyscrapercenter.com/complex/2859; https://mcitycondos.com/assets/m5-3d-amenities/; https://mcitycondos.com/assets/m5-3d-amenities/assets/building/all.gltf; https://mcitycondos.com/assets/m5-3d-amenities/assets/building/all.bin; https://www.mcitycondos.com/assets/img/community/m6-community-map.jpg
mcity-6,M City M6,Downtown,proposed-preconstruction,2026-09-20,,,{},Source geometry available; current detail may differ,The June 2026 City register describes 58 storeys. The architect page describes an earlier 55-storey version. Municipal SP 22-145 geometry has a 186.85 m tower height attribute; retain its exact surfaces. CTBUH explicitly estimates 194 m and that estimate is not a replacement height.,https://www.hariripontarini.com/projects/m-city-block-2-3; https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.skyscrapercenter.com/complex/2859; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0
mcity-7-8,M City M7 and M8,Downtown,proposed-preconstruction,2026-09-20,,,{},Source geometry available; current detail may differ,Municipal SP 24-30 geometry attributes are 163.16 and 146.91 m. CTBUH's 175 and 159 m were not accepted as verified measurements. Assign individual tower names only after checking their positions against a site plan.,https://www.hariripontarini.com/projects/m-city-block-2-3; https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.skyscrapercenter.com/complex/2859; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0
square-one-masterplan,Square One District master plan,Downtown,long-term-masterplan,2025-11-12,,,{},Latest geometry unavailable in source model,"Oxford's 2025 account gives 48 buildings, including 41 residential buildings; the original architect's plan has 37 towers. These are different program definitions or versions. Do not invent towers from these totals or duplicate the separately listed phases.",https://www.oxfordproperties.com/news/square-one-district-rich-living-with-a-european-touch; https://www.hariripontarini.com/projects/square-one-district; https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf
square-one-phase1,Square One District Phase 1: STAK 36 and Dialogue,Downtown,completed-operating,2026-09-20,Completed / operating by April 2026,,{},Source geometry available; current detail may differ,"The current Daniels fact sheet lists STAK36 at 48 storeys; older Oxford retail material says 44. Dialogue is marketed at 37, while some architectural records count 36. Municipal mesh 63-6238 is the dated 2024 capture of both towers. Remove overlapping proposal components 63-6225, 63-6226 and 63-6227 from the reviewed future. Final roof geometry remains unverified.",https://publications.oxfordproperties.com/sq1-district-retail/about-sq1-district-retail; https://www.rentdialogue.com/suites; https://www.oxfordproperties.com/news/square-one-district-rich-living-with-a-european-touch; https://danielsaccess.com/wp-content/uploads/2024/08/240446_T8175_Stak36_Fast-Fact-Sheet_8.5x11_FA1.pdf; https://danielsaccess.com/wp-content/uploads/2024/08/Stak36_Siteplan_v2.pdf
square-one-phase2,Square One District: 4250 Living Arts Drive and 320 Rathburn Road West,Downtown,proposed,2026-09-20,,,{},Source geometry available; current detail may differ,"SP 19-144 is described as two towers of 41 and 31 storeys in the June 2026 City register. Earlier marketing and UrbanToronto describe other versions. Four retained municipal components form two remaining tower and podium pairs. Components 63-6225, 63-6226 and 63-6227 actually overlap the completed first-phase towers and are excluded as duplicates. Current storeys do not establish precise architectural heights.",https://urbantoronto.ca/database/projects/4220-living-arts-drive-phase-2.56772; https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf; https://publications.oxfordproperties.com/sq1-district-retail/about-sq1-district-retail; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0
square-one-block5-t1,Square One District Block 5 Tower 1,Downtown,site-plan-proposed,2026-04,,,{},New public-plan-derived schematic now available,Schematic reconstruction of the submitted T 1 building from a published architects–Alliance roof/site plan. Adjacent Block 5 towers are conceptual and are not included. Roof-zone heights follow printed labels; horizontal outlines are digitised from a raster. Three public intersection controls establish location; estimated ±5 m placement and ±1 m plan-contour uncertainty. Facades and entrances are not reconstructed.,https://urbantoronto.ca/news/2026/04/47-storeys-proposed-next-square-one-district-transformation.60745; https://urbantoronto.ca/forum/threads/toronto-square-one-block-5-tower-1-169-75m-47s-oxford-properties-a%E2%80%94a.43139/; https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0; https://cdn.skyrisecities.com/sites/default/files/images/articles/2026/04/60745/60745-196039.jpg; https://cdn.skyrisecities.com/sites/default/files/images/articles/2026/04/60745/60745-196038.jpg
