Source group,Source name,OZ,SP,Component IDs,Audit status,Matched descriptions,Retained components
city-group-0,376 & 390 Derry Rd. West,OZ 24 2,,23-6931; 23-6932; 23-6933; 23-6934; 23-6935; 23-6936; 23-6937; 23-6938; 23-6939; 23-6940; 23-6941; 23-6942; 23-6943,Public-source follow-up completed; current status qualified,,13
city-group-1,Studio Bottega / 6967 Maritz Drive,,SP 21 182,23-6944; 23-6945,Exact-scope web review completed; detailed geometry subject to cited caveats,Two studio buildings and one mill shop and parking structure,2
city-group-2,6710 Hurontario St.,HOZ 23 4,SP 23 8,23-6946,Exact-scope web review completed; detailed geometry subject to cited caveats,"7-storey mixed-use building containing office, restaurant, hotel and banquet uses.",1
city-group-3,6616 McLaughlin Road / City Park Homes,HOZ 22 10,SP 22 119,23-6947; 23-6948,Exact-scope web review completed; detailed geometry subject to cited caveats,6 storey residential apartment building (120 units) and 5 detached dwellings,2
city-group-4,6620 Rothschild Trail townhouse proposal,OZ 19 10,SP 20 102,23-6949,Exact-scope web review completed; detailed geometry subject to cited caveats,"17 condominium residential units, 2-3 storeys in height",0
city-group-5,630-670 Courtney Valley Rd.,,SP 13 2,62-5925; 62-5926; 62-5927; 62-5928; 62-5929,Dossier + source inventory,Condominium development - 2 towers (24 & 19 storeys) and 14 horizontal multiple dwellings,5
city-group-6,3350 Wolfedale Road,,SP 24 24,62-5930,Exact-scope web review completed; detailed geometry subject to cited caveats,Site plan for warehouse building,1
city-group-7,3440 Wolfedale Rd.,,SP 22 142,62-5931,Exact-scope web review completed; detailed geometry subject to cited caveats,Addition to existing industrial building,1
city-group-8,Eagle Tech Recycling,,SP 21 78,62-5932,Public-source follow-up completed; current status qualified,,1
city-group-9,6969 Rexwood Road,,SP 24 47,42-808,Public-source follow-up completed; current status qualified,,1
city-group-10,5830 Campus Rd.,,SP 22 10,42-809; 42-810; 42-811,Exact-scope web review completed; detailed geometry subject to cited caveats,6 storey hotel with 208 guestrooms and 6 storey carpark,3
city-group-11,1700 Derry Rd.,,SP 24 31,42-812; 42-813; 42-814,Exact-scope web review completed; detailed geometry subject to cited caveats,Three industrial warehouses with associated office uses,3
