"mesh_id","project_id","project_name","research_area","source_status","reviewed_status","action","include_in_dated_capture_baseline","include_in_default_reviewed_future","exclude_superseded","exclude_duplicate_in_future","disputed_source_version_excluded_from_strict_mode","evidence_note","source_urls"
"101-4560","dundas-1000","1000–1024 Dundas Street East","citywide","Proposed","Under review","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Receivership alone is not a basis to delete a proposal; record remains conditional.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1000-and-1024-dundas-street-east-oz-opa-22-18-w1/ ; https://insolvencyinsider.ca/p/morrison-financial-wins-receiver-appointment-over-mississauga-dundas-street-redevelopment-lands"
"101-4561","dundas-1000","1000–1024 Dundas Street East","citywide","Proposed","Under review","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Receivership alone is not a basis to delete a proposal; record remains conditional.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1000-and-1024-dundas-street-east-oz-opa-22-18-w1/ ; https://insolvencyinsider.ca/p/morrison-financial-wins-receiver-appointment-over-mississauga-dundas-street-redevelopment-lands"
"101-4562","dundas-1000","1000–1024 Dundas Street East","citywide","Proposed","Under review","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Receivership alone is not a basis to delete a proposal; record remains conditional.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1000-and-1024-dundas-street-east-oz-opa-22-18-w1/ ; https://insolvencyinsider.ca/p/morrison-financial-wins-receiver-appointment-over-mississauga-dundas-street-redevelopment-lands"
"71-6194","city-group-141","1016 Eglinton Ave. East","group-status","Proposed","Minor site-plan work retained; completion unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","SP 24 14 source label matches SPM 24 14 at 1010–1022 Eglinton East, 32 m away. Existing Starbucks/retail listings do not prove proposed site work complete.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.6283615109351%2C+%22y%22%3A+43.627506142981375%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"32-918","city-group-99","1024 Westport Cres.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Only old industrial leasing/address evidence found. It does not certify the new industrial-with-office site-plan building complete.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D72&outFields=*&outSR=4326&f=pjson"
"101-4559","city-group-171","1030 Dundas St. East","group-status","Proposed","Minor site-plan application retained; completion unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact 1030 Dundas East parcel bridges SP 22 107 to SPM 22 107. It must stay separate from neighbouring 1000/1024 Dundas high-rise proposal.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.59134740926577%2C+%22y%22%3A+43.60141412745106%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"82-5570","city-group-178","1034 Clarkson Rd. North","inventory73-status","Proposed","Proposed commercial addition; completion of the addition unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","The municipal application is explicitly a one-storey addition to an existing one-storey commercial building, not construction of the whole operating office. McDadi currently lists its South Mississauga office at this address. That does not date the addition. The City's Clarkson/Lakeshore EA correspondence identifies the addition in April 2022. No later source found in this bounded audit demonstrates its completion.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D26&outFields=*&outSR=4326&f=pjson ; https://mcdadi.com/office/south-mississauga-office ; https://www.mississauga.ca/wp-content/uploads/2022/10/12154228/Appendix-N-Correspondance-Record-Clarkson-Lakeshore-EA.pdf"
"71-6195","city-group-142","1108 Eglinton Ave. East","group-status","Proposed","2026 site-plan application retained; completion unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact 1094/1108 Eglinton East address and location bridge the old OZ 17/7 to SP 26 9. Historical retail zoning does not demonstrate delivery of current design.","https://www.mississauga.ca/wp-content/uploads/2019/06/14110003/2019_06_24_PDC_Agenda.pdf ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.62686988310948%2C+%22y%22%3A+43.62955137004276%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"102-7058","city-group-16","1127 & 1129 Dixie Rd.","group-status","Proposed","Toronto Golf Club turf facility permit issued; completion unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","November 2025 City permit identifies a new 2,193 m² maintenance building with mezzanine at 1127 Dixie. Permit proves scope, not physical start or completion.","https://www.mississauga.ca/wp-content/uploads/2026/01/16114731/November-2025-Detailed-Building-Permit-Report.pdf ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.55294264636635%2C+%22y%22%3A+43.587999333284614%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"102-7059","city-group-16","1127 & 1129 Dixie Rd.","group-status","Proposed","Toronto Golf Club turf facility permit issued; completion unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","November 2025 City permit identifies a new 2,193 m² maintenance building with mezzanine at 1127 Dixie. Permit proves scope, not physical start or completion.","https://www.mississauga.ca/wp-content/uploads/2026/01/16114731/November-2025-Detailed-Building-Permit-Report.pdf ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.55294264636635%2C+%22y%22%3A+43.587999333284614%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
