projectId,project,district,existingCoverageStatement,result,checkedPublicReferences
mcity-1-2,M City M1 and M2,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.mcitycondos.com/construction.php
mcity-3,M City M3,Downtown,photo-and-plan-derived approximate crown shell,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.mcitycondos.com/construction.php
mcity-4,M City M4,Downtown,Published-plan envelope added; approximate placement and maximum roof profile,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.mcitycondos.com/construction.php
mcity-5,M City M5,Downtown,native developer interaction proxy; unverified architectural envelope,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/; https://www.mcitycondos.com/construction.php
mcity-6,M City M6,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.hariripontarini.com/projects/m-city-block-2-3; https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/
mcity-7-8,M City M7 and M8,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.hariripontarini.com/projects/m-city-block-2-3; https://www.mississauga.ca/projects-and-strategies/city-projects/m-city/
square-one-masterplan,Square One District master plan,Downtown,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.oxfordproperties.com/news/square-one-district-rich-living-with-a-european-touch; https://www.hariripontarini.com/projects/square-one-district
square-one-phase1,Square One District Phase 1: STAK 36 and Dialogue,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://publications.oxfordproperties.com/sq1-district-retail/about-sq1-district-retail; https://www.rentdialogue.com/suites
square-one-phase2,Square One District: 4250 Living Arts Drive and 320 Rathburn Road West,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://publications.oxfordproperties.com/sq1-district-retail/about-sq1-district-retail
square-one-block5-t1,Square One District Block 5 Tower 1,Downtown,New public-plan-derived schematic now available,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://cdn.skyrisecities.com/sites/default/files/images/articles/2026/04/60745/60745-196039.jpg; https://cdn.skyrisecities.com/sites/default/files/images/articles/2026/04/60745/60745-196038.jpg
square-one-block22,Square One District Block 22 /97–101 City Centre,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf
square-one-office,Offices at Square One District /Block 14,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://livesquareonedistrict.com/the-offices/; https://www.investmississauga.ca/downtown/commercial-opportunities/offices-sq1-district/
exchange-district,"Exchange District: EX1, EX2, EX3 and EXS",Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.arcadis.com/en-us/projects/north-america/canada/exchange-district; https://rentexs.com/
exchange-south,Exchange District South /The Southlands,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf
180-burnhamthorpe,180 Burnhamthorpe Road West,Downtown,Geometry conflict or version uncertainty; inspect evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf
4310-sherwoodtowne,4310 Sherwoodtowne Boulevard,Downtown,Geometry conflict or version uncertainty; inspect evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf
avia,Parkside Village Avia 1 and 2,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.lifeatparkside.com/post/voya-takes-shape-as-construction-reaches-new-heights
voya,Voya at Parkside Village,Downtown,published plan-derived illustrative envelope,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.lifeatparkside.com/post/introducing-voya-at-parkside-village; https://www.lifeatparkside.com/post/voya-takes-shape-as-construction-reaches-new-heights
parkside-block11,Parkside Village Block 11 future phase,Downtown,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=34
edge-oro,Edge Towers and Oro,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.solmar.ca/oro-at-edge-towers/; https://www.solmar.ca/news
artform,Artform,Cooksville,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.emblemdevcorp.com/projects/artform
keystone,Keystone by Kaneff,Downtown,Municipal source geometry identified and retained,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.newswire.ca/news-releases/kaneff-group-of-companies-breaks-ground-on-keystone-condos-an-architectural-masterpiece-in-the-heart-of-city-centre-mississauga-offering-buyers-an-unparalleled-investment-opportunity-812164919.html
living-arts-precinct,Living Arts Centre precinct vision,Downtown,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/city-of-mississauga-news/news/mississauga-unveils-once-in-a-generation-vision-to-transform-the-downtown-core/; https://www.mississauga.ca/city-of-mississauga-news/news/council-recap-june-24-2026/
325-burnhamthorpe,325 Burnhamthorpe Road West /YMCA lands,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/publication/opa-21-21-w4-325-burnhamthorpe-road-west/
3600-hurontario,3600 Hurontario Street /Enfield Place II,Downtown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://urbantoronto.ca/database/projects/3600-hurontario-street.49725
3680-hurontario-concept,3680 Hurontario Street concept,Downtown,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://listingsprod.blob.core.windows.net/ourlistings-can/ac3f6f95-f9bf-44b1-b448-0ef7f23482b8/a1b2b9b0-741d-4d9c-a8c4-15814b7a6b5f
brightwater-master,Brightwater / Port Credit West Village,Port Credit,Dated plan-derived concept; storey-based vertical estimate,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://experiencebrightwater.ca/; https://pub-mississauga.escribemeetings.com/Meeting.aspx?Agenda=Merged&Id=3a029998-7e38-412d-ae02-2a20023eeedf&lang=English
brightwater-one-two,Brightwater I & II,Port Credit,Municipal source geometry identified and retained,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://experiencebrightwater.ca/
brightwater-mason,The Mason at Brightwater,Port Credit,Municipal source geometry identified and retained,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://experiencebrightwater.ca/; https://renx.ca/index.php/brightwater-community-is-progressing-in-all-facets
brightwater-bridge-house,Bridge House at Brightwater,Port Credit,Geometry conflict or version uncertainty; inspect evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://renx.ca/index.php/brightwater-community-is-progressing-in-all-facets; https://experiencebrightwater.ca/
lakeview-master,Lakeview Village,Lakeview,Geometry conflict or version uncertainty; inspect evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/projects-and-strategies/city-projects/lakeview-waterfront-area-redevelopment/lakeview-village/; https://www.sasaki.com/projects/lakeview-village-master-plan/
lakeview-harbourwalk,Harbourwalk,Lakeview,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.tridel.com/lakeviewvillagecondos/news/; https://www.tridel.com/all-communities/
lakeview-aquanova,Aquanova,Lakeview,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://greenparkgroup.ca/new-homes/mississauga/aquanova/; https://greenparkgroup.ca/blog/live-easy-is-back/
lakeview-birch,Birch Condos & Towns,Lakeview,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://staging.branthaven.com/stg/pier-house/; https://www.branthaven.com/communities/pier-house/
lakeview-innovation,Lakeview Innovation District,Lakeview,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.ideamississauga.ca/discover/lakeview-innovation-district/; https://www.mississauga.ca/projects-and-strategies/city-projects/lakeview-waterfront-area-redevelopment/lakeview-village/
rangeview,Rangeview Estates,Lakeview,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/rangeview-estates-opa-24-11-w1/; https://bousfields.ca/project/rangeview-development-master-plan/
clarkson-toc,Clarkson GO Transit-Oriented Community,Clarkson,Plan-derived schematic envelope,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.infrastructureontario.ca/clarkson-toc; https://www.mississauga.ca/services-and-programs/planning-and-development/guide-to-city-planning-and-development/guiding-city-growth/transit-oriented-communities/
clarkson-royal-windsor,2077–2105 Royal Windsor Drive,Clarkson,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2077-to-2105-royal-windsor-drive-oz-opa-22-31-w2/
port-credit-88-park,88 Park / Port Credit mobility hub,Port Credit,Geometry conflict or version uncertainty; inspect evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://edenshaw.com/communities/
port-credit-42-46-park,42–46 Park / Park and Elizabeth,Port Credit,Geometry conflict or version uncertainty; inspect evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://edenshaw.com/communities/
port-credit-70-park,70 Park infill,Port Credit,Source-registered settlement zoning-envelope schematic,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/publication/oz-opa-23-1-w1-23-25-29-and-31-helene-street-north-53-queen-street-east-and-70-park-street-east/; https://data.mississauga.ca/pages/mississauga-3d
port-credit-the-ann,The Ann / 10 West,Port Credit,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/17-and-19-ann-street-84-and-90-high-street-and-91-park-street-east-oz-opa-22-3-w1/
port-credit-42-port,42 Port / 99 Lakeshore,Port Credit,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/42-port-street-east-and-99-lakeshore-road-east-oz-opa-22-30-w1/
port-credit-one-port,One Port / Marina lands redevelopment,Port Credit,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/projects-and-strategies/city-projects/inspiration-port-credit/; https://www.mississauga.ca/projects-and-strategies/environmental-assessments/1-port-street-east-proposed-marina/
port-credit-marina,1 Port Street proposed marina,Port Credit,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/projects-and-strategies/environmental-assessments/1-port-street-east-proposed-marina/; https://www.mississauga.ca/projects-and-strategies/city-projects/inspiration-port-credit/
lakeshore-west-900,900 Lakeshore Road West,Port Credit / Lorne Park,Plan-derived schematic with per-floor outlines,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/900-lakeshore-road-west-oz-opa-25-8-w2/; https://www.mississauga.ca/publication/oz-opa-25-8-w2-900-lakeshore-road-west-2/
lakeview-caven,579–619 Lakeshore / Caven,Lakeview,Geometry conflict or version uncertainty; inspect evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/579-to-619-lakeshore-road-east-1022-and-1028-caven-street-oz-opa-22-26-w1/
lakeview-dxe,Lakeview DXE Club,Lakeview,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://canada.constructconnect.com/dcn/news/projects/2026/07/pcl-construction-tops-off-lakeview-dxe-club-condo-development?lang=es%2Ffeed; https://obd.hcraontario.ca/profile/B60843
port-credit-tanu,TANU,Port Credit,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://edenshaw.com/communities/tanu/
port-credit-westport,Westport,Port Credit,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://edenshaw.com/communities/westport/; https://edenshaw.com/news/edenshaw-developments-and-langara-construction-a-partnership-shaping-mississaugas-skyline/
port-credit-128-lakeshore,128 Lakeshore Road East,Port Credit,Survey-registered plan-derived schematic envelope,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.omb.gov.on.ca/e-decisions/OLT-22-004078-NOV-03-2023.PDF
lakeview-jim-tovey,Jim Tovey Lakeview Conservation Area,Lakeview,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://cvc.ca/park-advisories/; https://cvc.ca/documents/plan/
port-credit-170-lakeshore,170 Lakeshore Road East,Port Credit,Source-registered settlement zoning-envelope schematic,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.omb.gov.on.ca/e-decisions/OLT-22-004584-FEB-24-2025.PDF
port-credit-26-park,26 Park Street East,Port Credit,Plan-derived schematic envelope,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/12-and-26-park-street-east-oz-opa-26-13-w1/; https://data.mississauga.ca/pages/mississauga-3d
port-credit-50-high,50 High Street East,Port Credit,Survey-registered plan-derived schematic envelope,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/50-high-street-east-oz-25-19-w1/; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
lakeview-aura,Aura Towns at Lakeview Village,Lakeview,ten approximate source-plan townhome envelopes; no exact metric heights,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://caivan.com/aura/; https://mylakeviewvillage.com/project
lakeview-pier-house,Pier House Towns at Lakeview Village,Lakeview,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.branthaven.com/communities/pier-house/; https://mylakeviewvillage.com/project
lakeview-deco-opus,DECO / OPUS Lakeview Village,Lakeview,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://opushomes.com/communities/lakeview-village/; https://mylakeviewvillage.com/project
ninth-6344,6344 Ninth Line,Lisgar / Ninth Line,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/6344-ninth-line-oz-26-11-w10/
chelsea-2026,Chelsea on the Green — 2026 expansion,Applewood / Rathwood,plan-derived models,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/4100-ponytrail-drive-and-1850-rathburn-road-east-oz-opa-26-9-w3/; https://chrisfonseca.ca/2026/05/28/4100-ponytrail-dr-community-meeting-notice/
promenade-infill,2233–2235 Hurontario Street,Cooksville,New public-plan-derived schematic now available,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2233-and-2235-hurontario-street-oz-26-8-w7/
ninth-6578,6578 Ninth Line,Lisgar / Ninth Line,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/6578-ninth-line-oz-26-6-w10/; https://civic-lens.ca/ontario/peel/mississauga/applications/oz-26-6-w-10
